Order Date,Product Name,Sales
2024-04-12,Electric Toothbrush,4250
2022-02-28,Room Heater,2536
2023-01-15,Table Fan,1497
2020-09-14,LED TV,1494
2024-08-02,Wireless Charger,1547
2021-07-17,Cool Drink,945
2022-08-04,Espresso Machine,3437
2021-05-10,Smart Watch,3868
2022-10-11,Laptop Stand,3473
2021-03-18,Bluetooth Speaker,893
2020-05-19,Flower Vase,3667
2021-10-03,Noise Cancelling Headphones,3709
2022-06-02,Room Heater,2940
2022-08-13,Flower Vase,4921
2023-02-13,Yoga Mat,4559
2025-04-15,Flower Vase,4926
2025-01-06,Table Fan,4249
2023-06-08,Electric Toothbrush,1310
2022-04-13,Decorative Light,913
2024-05-15,Smart Watch,2461
2022-01-01,Laptop Stand,4377
2025-04-10,Laptop Stand,4246
2024-01-16,Room Heater,3556
2023-06-20,Yoga Mat,3526
2021-01-25,Bluetooth Speaker,534
2022-04-26,Robot Vacuum,1376
2022-01-17,Wireless Charger,2586
2021-11-17,Electric Toothbrush,3405
2023-06-14,Decorative Light,4684
2023-09-09,Flower Vase,3466
2020-07-10,Robot Vacuum,4067
2022-06-19,Laptop Stand,2305
2023-03-19,Noise Cancelling Headphones,1280
2022-08-14,LED TV,2938
2021-04-03,Bluetooth Speaker,311
2024-11-03,Smart Bulb,2342
2022-12-13,Noise Cancelling Headphones,1424
2022-11-19,Espresso Machine,4569
2023-08-27,Espresso Machine,2956
2025-03-15,Flower Vase,3120
2023-10-08,Yoga Mat,3892
2020-06-27,Robot Vacuum,1095
2020-12-18,Table Fan,2108
2021-12-18,Decorative Light,111
2021-04-05,Yoga Mat,2493
2021-08-01,Robot Vacuum,3768
2023-09-24,Decorative Light,4608
2020-09-25,Room Heater,1534
2024-06-19,Espresso Machine,1731
2023-07-13,Noise Cancelling Headphones,3048
2021-10-05,LED TV,1836
2025-01-31,Flower Vase,2522
2024-11-30,Air Purifier,4521
2024-12-18,Laptop Stand,2452
2024-05-16,Wireless Charger,3255
2024-07-28,Laptop Stand,2098
2023-03-29,Bluetooth Speaker,3486
2024-08-14,Noise Cancelling Headphones,920
2022-06-20,Espresso Machine,220
2023-10-31,Bluetooth Speaker,3467
2024-03-11,Air Purifier,3491
2023-02-21,Air Purifier,2676
2024-12-29,Decorative Light,608
2023-06-27,Laptop Stand,4039
2022-08-22,Yoga Mat,2247
2023-04-08,Electric Toothbrush,4357
2022-08-27,Electric Toothbrush,1589
2021-09-22,Yoga Mat,318
2024-02-22,Table Fan,3287
2023-11-08,Smart Bulb,3035
2022-08-13,Espresso Machine,1194
2021-07-21,Yoga Mat,914
2023-02-03,Flower Vase,747
2023-01-31,Flower Vase,3086
2021-01-09,Smart Watch,3137
2020-08-03,Decorative Light,3297
2021-02-22,Laptop Stand,2826
2021-12-24,Room Heater,4453
2023-06-10,LED TV,5000
2021-02-11,LED TV,4118
2021-03-29,Smart Watch,3414
2021-08-15,Cool Drink,4298
2025-01-11,Cool Drink,2386
2022-07-04,Cool Drink,4608
2023-03-11,Air Purifier,4117
2022-02-22,Noise Cancelling Headphones,2167
2021-06-09,Room Heater,379
2022-03-26,Air Purifier,2748
2021-09-25,Wireless Charger,4478
2020-08-14,Laptop Stand,914
2025-01-03,Flower Vase,2865
2021-10-31,Decorative Light,4300
2023-03-26,Wireless Charger,4069
2022-04-13,Laptop Stand,1777
2020-08-16,Smart Watch,4392
2023-02-15,Bluetooth Speaker,3593
2021-03-14,LED TV,691
2020-09-02,Flower Vase,4291
2023-04-16,Table Fan,1695
2024-08-06,Smart Watch,3298
2023-08-03,Electric Toothbrush,546
2022-03-27,Decorative Light,1289
2021-08-12,Electric Toothbrush,644
2021-02-28,Electric Toothbrush,4090
2023-05-25,Air Purifier,4046
2022-12-29,LED TV,2141
2024-01-01,Flower Vase,2097
2020-12-30,Smart Bulb,4789
2022-11-26,Decorative Light,4508
2024-06-19,Smart Watch,4632
2021-08-17,Room Heater,669
2020-09-19,Noise Cancelling Headphones,4632
2021-08-21,Yoga Mat,4299
2024-04-10,Smart Watch,4885
2022-11-27,Laptop Stand,775
2021-07-29,LED TV,305
2022-03-20,Noise Cancelling Headphones,2711
2024-12-27,Laptop Stand,2327
2022-06-18,Electric Toothbrush,4068
2024-07-11,Decorative Light,3350
2020-12-04,Wireless Charger,245
2022-01-13,Cool Drink,1976
2024-04-09,Room Heater,558
2020-06-14,Electric Toothbrush,3768
2020-06-13,Flower Vase,1042
2024-03-31,Smart Bulb,2095
2020-06-02,Bluetooth Speaker,2048
2021-06-29,Flower Vase,1345
2023-10-08,Decorative Light,3855
2024-11-21,Smart Bulb,514
2020-05-15,Robot Vacuum,4301
2022-11-02,Robot Vacuum,667
2023-01-23,Laptop Stand,1227
2022-11-15,Room Heater,1942
2023-12-02,Electric Toothbrush,4518
2023-08-19,Bluetooth Speaker,4140
2023-07-02,Flower Vase,1853
2022-11-15,Smart Bulb,2835
2021-12-03,Table Fan,1601
2023-10-18,Flower Vase,2811
2023-12-21,Yoga Mat,767
2025-02-15,Smart Bulb,3821
2021-02-08,Espresso Machine,1017
2023-03-02,Room Heater,2052
2020-10-22,Electric Toothbrush,916
2023-11-29,Air Purifier,1876
2022-01-02,Robot Vacuum,531
2025-01-15,Bluetooth Speaker,2930
2025-04-22,Smart Watch,4306
2021-08-31,Smart Watch,807
2025-03-15,Laptop Stand,2168
2021-05-23,Flower Vase,1248
2021-06-06,Robot Vacuum,4524
2025-01-11,Wireless Charger,4561
2020-08-20,Robot Vacuum,393
2023-03-24,Flower Vase,967
2024-09-29,Smart Bulb,1663
2021-11-16,Wireless Charger,3914
2020-12-12,Room Heater,3983
2022-03-02,Yoga Mat,3849
2022-11-15,Laptop Stand,639
2021-07-21,Smart Bulb,1985
2021-03-26,Noise Cancelling Headphones,1449
2025-03-26,Espresso Machine,2384
2021-03-17,Electric Toothbrush,1139
2024-03-17,Bluetooth Speaker,682
2021-04-25,LED TV,2550
2021-10-03,Noise Cancelling Headphones,4456
2020-06-13,Noise Cancelling Headphones,1496
2023-03-17,Robot Vacuum,1528
2021-03-29,Room Heater,2580
2022-04-19,Room Heater,2607
2022-07-16,Table Fan,2765
2022-01-20,LED TV,3639
2021-06-17,Yoga Mat,3062
2022-07-10,Cool Drink,3266
2020-10-26,Wireless Charger,4257
2021-01-09,LED TV,2958
2022-05-21,Bluetooth Speaker,3881
2022-02-26,Air Purifier,2079
2024-10-21,Smart Bulb,4471
2024-12-21,Robot Vacuum,2512
2021-05-20,Room Heater,3633
2020-08-17,Bluetooth Speaker,2250
2022-10-13,Table Fan,3398
2024-08-04,Table Fan,3345
2021-11-06,Air Purifier,4157
2022-01-23,Air Purifier,3533
2021-12-31,Laptop Stand,1359
2023-03-25,Smart Bulb,1627
2022-05-17,LED TV,2514
2021-11-01,Cool Drink,4358
2021-01-03,Yoga Mat,3398
2024-11-25,Cool Drink,1398
2020-09-20,Air Purifier,1354
2023-02-24,Noise Cancelling Headphones,1785
2021-05-08,Room Heater,648
2023-09-07,Yoga Mat,3163
2025-01-16,Noise Cancelling Headphones,3825
2022-11-26,Espresso Machine,2100
2025-03-21,Table Fan,4040
2022-08-24,Flower Vase,4238
2025-03-27,Table Fan,1880
2022-04-30,Wireless Charger,1865
2022-12-26,Yoga Mat,1524
2022-03-22,Cool Drink,714
2025-03-21,Laptop Stand,4416
2022-10-26,Room Heater,3194
2023-04-12,Flower Vase,529
2021-07-28,Decorative Light,203
2023-04-19,Bluetooth Speaker,2787
2023-11-15,Smart Watch,3015
2022-02-18,Yoga Mat,307
2021-01-19,Table Fan,227
2025-03-08,LED TV,4436
2022-10-03,Table Fan,3079
2022-01-02,Bluetooth Speaker,4750
2021-08-13,Robot Vacuum,1949
2020-11-13,Laptop Stand,109
2023-04-24,Yoga Mat,1638
2022-07-23,LED TV,2634
2023-09-23,Smart Watch,3231
2020-07-09,Wireless Charger,667
2024-03-18,Electric Toothbrush,4576
2021-09-27,LED TV,3229
2023-04-02,Yoga Mat,4948
2021-01-26,Wireless Charger,4947
2024-03-14,Electric Toothbrush,3017
2020-11-08,Flower Vase,2603
2025-01-24,Robot Vacuum,3269
2025-04-07,Laptop Stand,2990
2021-10-06,Smart Bulb,2470
2023-09-29,Air Purifier,264
2023-02-23,Table Fan,2025
2023-03-28,Electric Toothbrush,3819
2024-03-27,Air Purifier,330
2021-08-02,Bluetooth Speaker,1914
2022-08-09,Noise Cancelling Headphones,4407
2024-09-16,Electric Toothbrush,1935
2023-08-21,Yoga Mat,2543
2023-08-10,Wireless Charger,4895
2023-03-07,Air Purifier,4266
2021-05-20,Robot Vacuum,1211
2021-12-29,Cool Drink,215
2023-11-14,Yoga Mat,1810
2022-11-09,Smart Watch,2917
2025-03-07,Cool Drink,1937
2024-09-20,Room Heater,2764
2020-09-28,Bluetooth Speaker,4739
2024-12-16,Wireless Charger,3996
2024-04-19,Flower Vase,4348
2020-10-23,Air Purifier,4018
2024-07-25,Air Purifier,3375
2021-04-14,Decorative Light,4325
2022-11-18,Room Heater,4509
2023-06-11,Decorative Light,935
2022-01-13,Bluetooth Speaker,3572
2024-04-24,Noise Cancelling Headphones,4895
2024-07-18,Wireless Charger,549
2024-04-16,Espresso Machine,4238
2022-01-17,Decorative Light,2315
2021-09-12,Room Heater,1479
2024-06-08,Bluetooth Speaker,3790
2021-10-01,Bluetooth Speaker,2006
2023-04-12,Robot Vacuum,2486
2020-07-28,Wireless Charger,4061
2022-07-01,Cool Drink,4068
2022-12-11,LED TV,3035
2022-04-01,Bluetooth Speaker,4469
2023-03-14,Decorative Light,4614
2022-08-17,Laptop Stand,3617
2024-05-21,Electric Toothbrush,2495
2023-02-25,Espresso Machine,3985
2024-10-04,Noise Cancelling Headphones,2712
2021-01-12,Electric Toothbrush,359
2023-12-12,Bluetooth Speaker,3656
2020-07-08,Table Fan,815
2023-10-03,Decorative Light,1928
2020-05-11,Electric Toothbrush,1863
2024-03-29,Bluetooth Speaker,4273
2021-06-10,Yoga Mat,3548
2024-07-29,Wireless Charger,3063
2023-10-23,Bluetooth Speaker,2415
2022-03-31,LED TV,60
2023-08-09,Air Purifier,1579
2020-12-10,Wireless Charger,1324
2024-11-11,LED TV,2014
2023-06-23,LED TV,1232
2023-09-07,Robot Vacuum,2417
2025-03-24,Room Heater,2077
2024-12-05,Room Heater,3654
2021-12-18,Table Fan,4320
2022-04-28,Wireless Charger,3228
2022-02-06,Flower Vase,1851
2024-01-08,Yoga Mat,1957
2020-05-23,Yoga Mat,2543
2020-05-01,Electric Toothbrush,2527
2022-11-18,Decorative Light,724
2020-12-23,LED TV,4624
2024-11-23,Flower Vase,2958
2021-08-27,Espresso Machine,2066
2020-11-08,Cool Drink,1372
2024-05-13,Cool Drink,4979
2024-01-05,Room Heater,4347
2021-02-13,Cool Drink,3077
2024-12-22,Smart Watch,4436
2022-04-10,Yoga Mat,764
2025-03-19,LED TV,1490
2022-09-22,Bluetooth Speaker,2885
2024-04-08,Decorative Light,1469
2021-08-09,Decorative Light,1295
2023-07-16,Decorative Light,453
2023-02-05,Smart Watch,684
2022-11-22,LED TV,1719
2020-11-19,Cool Drink,3824
2024-10-06,Room Heater,3866
2025-04-25,Wireless Charger,4621
2020-08-13,LED TV,472
2022-09-22,Robot Vacuum,1834
2021-04-22,Bluetooth Speaker,4351
2025-01-20,Electric Toothbrush,3991
2020-06-05,Electric Toothbrush,4520
2020-07-02,Robot Vacuum,3791
2021-07-17,Yoga Mat,3294
2023-08-10,Laptop Stand,3774
2025-04-13,Table Fan,1847
2020-07-20,Smart Bulb,3641
2020-07-16,Electric Toothbrush,422
2022-08-13,Bluetooth Speaker,1170
2024-11-02,Electric Toothbrush,3429
2023-06-07,Smart Watch,1345
2023-05-10,Smart Bulb,4065
2023-08-23,Cool Drink,369
2021-09-26,Air Purifier,3329
2024-02-12,Cool Drink,4538
2023-10-16,Noise Cancelling Headphones,433
2024-09-29,Wireless Charger,1688
2024-12-26,Air Purifier,566
2025-03-30,Decorative Light,3016
2024-09-21,Flower Vase,4605
2022-03-04,Robot Vacuum,3079
2021-09-25,Noise Cancelling Headphones,3511
2023-02-20,Cool Drink,300
2023-05-10,Smart Watch,2560
2021-09-07,Electric Toothbrush,3756
2025-04-13,Bluetooth Speaker,1292
2021-12-10,Espresso Machine,1685
2024-05-26,Wireless Charger,4444
2021-07-13,Flower Vase,472
2022-11-05,Table Fan,374
2024-10-29,Table Fan,3389
2024-05-09,Laptop Stand,4999
2024-12-12,Bluetooth Speaker,2036
2022-12-28,Laptop Stand,3847
2024-01-23,Cool Drink,4002
2024-08-20,Flower Vase,2844
2023-07-13,Flower Vase,716
2020-07-28,Decorative Light,89
2025-04-19,Robot Vacuum,4689
2020-11-10,Noise Cancelling Headphones,2227
2024-01-07,Noise Cancelling Headphones,783
2025-04-03,Air Purifier,3486
2022-12-31,Bluetooth Speaker,593
2024-01-25,Room Heater,2793
2021-09-01,Decorative Light,3165
2021-01-14,Table Fan,3291
2024-09-21,Robot Vacuum,4011
2022-09-28,Bluetooth Speaker,3173
2020-10-14,Laptop Stand,1038
2022-08-16,Room Heater,4339
2025-01-06,Cool Drink,3849
2020-10-15,Decorative Light,1972
2022-08-05,Smart Watch,2578
2022-11-23,Bluetooth Speaker,4327
2021-06-15,Espresso Machine,728
2020-11-16,Smart Watch,2585
2022-11-19,Espresso Machine,4607
2021-10-01,LED TV,265
2020-06-10,Decorative Light,3578
2021-11-12,Table Fan,1464
2020-07-14,Smart Bulb,3086
2023-07-14,LED TV,4618
2022-03-26,Table Fan,1548
2022-07-03,Smart Bulb,4666
2023-04-08,Air Purifier,3809
2023-07-17,Flower Vase,4927
2022-02-19,Smart Bulb,1280
2021-02-23,Flower Vase,4804
2022-10-06,Bluetooth Speaker,2018
2025-04-07,Air Purifier,2185
2022-11-18,Flower Vase,4297
2022-03-05,Noise Cancelling Headphones,1899
2020-11-08,Air Purifier,2765
2024-08-05,Flower Vase,347
2024-10-23,Smart Watch,3108
2024-02-16,Laptop Stand,1528
2025-04-02,Yoga Mat,3990
2020-12-13,Robot Vacuum,723
2024-01-22,Air Purifier,2183
2021-11-09,Smart Bulb,4617
2023-07-11,Robot Vacuum,1995
2024-08-28,Laptop Stand,310
2024-01-22,Espresso Machine,4314
2023-03-17,Table Fan,1181
2022-09-23,Table Fan,3466
2022-12-30,LED TV,57
2024-11-19,Electric Toothbrush,3610
2020-07-17,Yoga Mat,2883
2022-02-24,Smart Watch,4006
2023-07-17,Decorative Light,4266
2022-12-19,Smart Watch,501
2023-08-11,Wireless Charger,4431
2020-08-22,Robot Vacuum,782
2023-07-15,Yoga Mat,711
2024-11-11,Air Purifier,3747
2022-10-31,Smart Watch,2061
2020-08-03,Smart Watch,4925
2020-09-19,Smart Bulb,1465
2024-06-23,Smart Bulb,996
2023-07-29,Table Fan,2182
2020-12-12,Espresso Machine,95
2023-11-27,Espresso Machine,1878
2024-07-29,Cool Drink,3177
2021-06-24,Smart Bulb,4942
2021-11-11,Noise Cancelling Headphones,2894
2021-01-04,Air Purifier,1783
2020-08-07,Bluetooth Speaker,1766
2025-01-12,Laptop Stand,1949
2024-11-27,Cool Drink,2720
2022-01-04,Electric Toothbrush,1758
2023-05-09,Electric Toothbrush,4958
2022-09-21,Robot Vacuum,1322
2020-05-01,Flower Vase,3049
2025-02-03,Robot Vacuum,3898
2022-10-08,Air Purifier,4705
2024-07-03,Noise Cancelling Headphones,2968
2020-12-07,Smart Watch,955
2022-07-24,Yoga Mat,1760
2023-10-09,Bluetooth Speaker,3353
2021-12-14,Electric Toothbrush,3042
2022-08-23,Smart Bulb,4075
2024-04-28,Smart Bulb,4200
2023-10-16,Wireless Charger,3533
2024-04-18,Table Fan,2138
2023-03-28,Air Purifier,997
2025-03-06,Bluetooth Speaker,2015
2024-05-14,Espresso Machine,796
2023-07-27,Wireless Charger,574
2022-09-27,Yoga Mat,2001
2023-09-30,Yoga Mat,2415
2020-11-16,Wireless Charger,1410
2021-01-27,Room Heater,3717
2024-07-28,Smart Bulb,128
2021-09-08,Wireless Charger,3898
2022-12-14,Decorative Light,2236
2020-06-04,Room Heater,3516
2022-07-13,Wireless Charger,1382
2021-05-21,Air Purifier,2683
2023-12-26,Wireless Charger,4257
2021-05-16,Bluetooth Speaker,1552
2020-05-07,Espresso Machine,2934
2021-10-14,Bluetooth Speaker,1538
2023-07-31,Wireless Charger,2324
2024-06-23,Wireless Charger,1636
2024-09-20,Laptop Stand,1075
2021-11-05,Decorative Light,2631
2021-12-13,Table Fan,4684
2021-03-07,Decorative Light,4934
2022-06-10,Robot Vacuum,3446
2021-08-02,Bluetooth Speaker,3443
2024-01-01,Smart Bulb,1520
2023-07-03,Noise Cancelling Headphones,3537
2021-01-01,Decorative Light,870
2022-06-15,Yoga Mat,1307
2024-07-08,Room Heater,513
2023-12-12,Electric Toothbrush,2067
2022-01-04,Laptop Stand,2887
2022-12-14,Smart Bulb,4038
2022-09-07,Espresso Machine,3277
2022-09-02,Smart Watch,1407
2023-09-05,Laptop Stand,4835
2023-04-22,Decorative Light,4460
2023-09-16,Robot Vacuum,809
2025-03-05,Espresso Machine,4175
2024-11-06,Room Heater,4054
2024-07-17,Electric Toothbrush,1341
2021-12-21,Bluetooth Speaker,1886
2022-07-03,Cool Drink,1924
2021-07-12,Flower Vase,3083
2025-01-02,Laptop Stand,4859
2021-05-03,Air Purifier,562
2024-03-17,Laptop Stand,2308
2025-01-09,Decorative Light,4819
2021-04-13,Espresso Machine,1235
2024-02-20,Robot Vacuum,3658
2021-10-17,Air Purifier,2592
2023-01-18,Flower Vase,2245
2024-07-05,Flower Vase,426
2024-07-11,Decorative Light,2626
2020-12-16,Smart Bulb,3867
2020-11-08,Flower Vase,195
2020-09-08,Robot Vacuum,4274
2023-03-02,Robot Vacuum,2359
2023-03-21,Cool Drink,3014
2022-03-27,Room Heater,2143
2021-02-12,Smart Bulb,2801
2023-01-18,Noise Cancelling Headphones,1570
2022-03-25,Decorative Light,2083
2022-08-16,Smart Bulb,4080
2025-02-22,Wireless Charger,3382
2024-05-24,Noise Cancelling Headphones,2324
2022-05-09,Table Fan,208
2025-01-04,Electric Toothbrush,2499
2021-04-05,LED TV,1553
2021-09-16,Laptop Stand,4614
2024-08-10,Laptop Stand,2196
2023-10-04,Noise Cancelling Headphones,2705
2023-01-21,LED TV,276
2021-06-10,Table Fan,2041
2022-05-12,Espresso Machine,375
2024-05-05,Robot Vacuum,4718
2021-01-02,Smart Bulb,3701
2022-04-05,Table Fan,4539
2020-08-04,Smart Watch,4642
2024-05-15,Bluetooth Speaker,3330
2022-08-11,Espresso Machine,4071
2022-07-06,Robot Vacuum,989
2022-05-04,Wireless Charger,2549
2024-03-20,Room Heater,4474
2020-09-26,Cool Drink,1088
2024-04-21,Noise Cancelling Headphones,4924
2022-08-26,Cool Drink,1056
2022-12-05,Espresso Machine,4243
2021-03-30,Cool Drink,1939
2023-04-28,Smart Bulb,3699
2022-01-09,Bluetooth Speaker,2582
2020-07-07,Robot Vacuum,3061
2020-12-05,Cool Drink,2169
2021-01-05,Smart Bulb,2721
2022-04-04,Robot Vacuum,4147
2021-10-22,Electric Toothbrush,4916
2021-10-21,Yoga Mat,913
2022-03-08,Flower Vase,3283
2021-04-07,Yoga Mat,1771
2023-02-26,Smart Bulb,3666
2021-10-08,Wireless Charger,1923
2020-08-31,Cool Drink,3515
2023-03-23,LED TV,2057
2023-11-30,Flower Vase,4002
2022-12-17,Air Purifier,2627
2020-11-07,Room Heater,2664
2020-08-24,Robot Vacuum,3782
2022-07-07,Wireless Charger,505
2022-11-27,Laptop Stand,1192
2021-08-05,Smart Watch,3801
2020-08-15,Bluetooth Speaker,1933
2022-03-05,Robot Vacuum,1510
2024-01-13,Wireless Charger,2450
2020-09-20,Yoga Mat,500
2022-06-27,Smart Watch,4489
2021-11-12,Smart Watch,142
2020-07-22,Air Purifier,4793
2023-05-12,Table Fan,2065
2021-11-17,Smart Watch,2829
2021-09-07,Cool Drink,3441
2020-06-02,Flower Vase,3617
2022-01-08,Flower Vase,681
2023-12-09,Smart Bulb,1301
2025-04-13,LED TV,1014
2023-08-26,Laptop Stand,4290
2024-10-02,Flower Vase,2434
2023-09-27,Air Purifier,222
2022-06-05,Noise Cancelling Headphones,757
2024-11-30,Noise Cancelling Headphones,202
2020-10-30,Smart Bulb,3219
2024-10-05,Noise Cancelling Headphones,4950
2023-10-11,Smart Watch,2671
2024-07-17,Electric Toothbrush,3217
2023-01-08,LED TV,4345
2021-12-06,Flower Vase,1092
2020-12-20,Table Fan,3794
2020-07-26,Smart Bulb,1650
2024-12-19,Flower Vase,3931
2020-07-02,Robot Vacuum,3754
2023-12-30,Laptop Stand,895
2021-04-05,Noise Cancelling Headphones,3291
2022-12-15,Bluetooth Speaker,775
2021-10-09,Room Heater,150
2022-08-03,Flower Vase,4305
2023-03-05,Smart Bulb,3963
2022-05-10,Yoga Mat,2410
2024-02-27,Flower Vase,2525
2024-05-26,LED TV,4785
2025-01-21,Noise Cancelling Headphones,2240
2023-10-27,LED TV,727
2023-11-12,Laptop Stand,2481
2021-01-13,Espresso Machine,789
2021-10-31,Robot Vacuum,4747
2024-05-30,Yoga Mat,251
2024-04-30,Noise Cancelling Headphones,2768
2020-05-06,Noise Cancelling Headphones,1035
2025-03-25,Espresso Machine,4017
2023-11-26,Smart Bulb,946
2022-07-11,LED TV,1464
2023-10-13,Robot Vacuum,2380
2023-01-25,Smart Watch,4149
2021-08-29,LED TV,2067
2024-02-01,Yoga Mat,4115
2020-11-16,Room Heater,4469
2020-05-15,Wireless Charger,3449
2022-12-22,Air Purifier,4264
2020-09-07,Electric Toothbrush,480
2023-01-18,Decorative Light,4072
2024-01-08,Noise Cancelling Headphones,522
2020-12-02,Smart Bulb,1889
2022-03-26,LED TV,286
2020-08-28,Espresso Machine,2425
2021-08-24,Smart Bulb,4462
2023-12-06,Robot Vacuum,4822
2020-10-15,Smart Bulb,853
2020-05-29,Laptop Stand,4169
2022-05-03,Espresso Machine,4195
2021-10-12,Table Fan,1100
2025-04-08,Table Fan,3076
2024-08-29,Noise Cancelling Headphones,2079
2021-06-11,Smart Bulb,224
2020-10-04,Decorative Light,1064
2024-07-22,Robot Vacuum,2985
2024-12-02,Cool Drink,3902
2024-07-04,Decorative Light,3983
2021-11-15,Table Fan,4525
2020-12-14,Flower Vase,4565
2020-05-27,Robot Vacuum,1244
2022-01-09,Air Purifier,513
2023-03-05,Cool Drink,138
2023-12-05,Electric Toothbrush,1977
2023-11-24,Espresso Machine,2436
2021-04-03,Wireless Charger,932
2023-02-25,Espresso Machine,1492
2024-10-02,Smart Bulb,3762
2020-11-28,Decorative Light,2911
2022-09-23,Room Heater,1640
2023-08-10,Bluetooth Speaker,2163
2020-09-20,Laptop Stand,4809
2021-06-24,Yoga Mat,798
2024-02-07,Bluetooth Speaker,3171
2020-08-17,Smart Watch,3964
2024-09-25,Yoga Mat,4205
2021-08-13,Smart Bulb,56
2021-07-01,Flower Vase,1942
2021-03-24,Smart Bulb,3552
2022-04-19,Laptop Stand,1406
2022-06-25,LED TV,4420
2023-01-30,Robot Vacuum,584
2020-09-20,Cool Drink,2886
2021-01-27,Flower Vase,3542
2022-02-26,Noise Cancelling Headphones,4722
2024-05-07,Decorative Light,1844
2024-02-06,Laptop Stand,4243
2022-08-05,Flower Vase,3627
2024-03-02,Room Heater,2811
2021-07-06,Cool Drink,2365
2025-04-22,Robot Vacuum,2979
2025-03-19,Yoga Mat,4581
2022-11-10,Noise Cancelling Headphones,1875
2022-03-07,Flower Vase,4683
2020-10-26,Laptop Stand,4853
2023-04-06,LED TV,3071
2020-11-13,Air Purifier,2550
2022-07-16,Decorative Light,2669
2024-09-06,Smart Bulb,2165
